English Translation,Standard Bangla Lanuguage,Romanized Bangla,Chittagong Language,Romanized Chittagong Language,Sylhet Language,Romanized Sylhet Language
"They were three brothers, but there was no harmony among them.",তারা তিনভাই ছিলো কিন্তু তাদের মধ্যে মিল ছিলো না,Tara tinbhai chilo kintu tader moddhe mil chilo na,ইতারা তিন বাই আছিলো কিন্তু তারার মাঝে মিল ন আছিলো,Itara tin bai asilo kintu tarar maze mil no asilo,তারা তিঙ্গু ভাই আছিলো কিন্তু হেরার মাঝে মিল আছিলো না,Tara tingu bhai asilo kintu herar maze mil asilo na
They were three brothers.,তারা তিনভাই ছিলো ,Tara tinbhai chilo,ইতারা তিন বাই আছিলো ,Itara tin bai asilo,তারা তিঙ্গু ভাই আছিলো ,Tara tingu bhai asilo
But there was no harmony among them.,কিন্তু তাদের মধ্যে মিল ছিলো না,Kintu tader moddhe mil chilo na,কিন্তু তারার মাঝে মিল ন আছিলো,Kintu tarar maze mil no asilo,কিন্তু হেরার মাঝে মিল আছিলো না,Kintu herar maze mil asilo na
There was no harmony among them.,তাদের মধ্যে মিল ছিলো না,Tader moddhe mil chilo na,তারার মাঝে মিল ন আছিলো,Tarar maze mil no asilo,হেরার মাঝে মিল আছিলো না,Herar maze mil asilo na
There was no harmony.,মিল ছিলো না,Mil chilo na,মিল ন আছিলো,Mil no asilo,মিল আছিলো না,Mil asilo na
There was harmony.,মিল ছিলো,Mil chilo,মিল আছিলো,Mil asilo,মিল আছিলো ,Mil asilo
"They were three brothers, but there was no harmony among them.",তারা তিনভাই ছিলো কিন্তু তাদের মধ্যে মিল ছিলো,Tara tinbhai chilo kintu tader moddhe mil chilo,ইতারা তিন বাই আছিলো কিন্তু তারার মাঝে মিল আছিলো,Itara tin bai asilo kintu tarar maze mil asilo,তারা তিঙ্গু ভাই আছিলো কিন্তু হেরার মাঝে মিল আছিলো ,Tara tingu bhai asilo kintu herar maze mil asilo
You cannot speak to me like this.,আপনি আমার সাথে এভাবে কথা বলতে পারেন না,Apni amar shathe evabe kotha bolte paren na,অনে আর লাই এন গরি হতা হতে ন ফারেন,One ar lai en gori hota hote no faren,আফনে আমার লগে ওলা মাত্তা ফারোইন না,Afne amar loge ola matta faroin na
You cannot speak to me like this.,আমার সাথে এভাবে কথা বলতে পারেন না,Amar shathe evabe kotha bolte paren na,আর লাই এন গরি হতা হতে ন ফারেন,Ar lai en gori hota hote no faren,আমার লগে ওলা মাত্তা ফারোইন না,Amar loge ola matta faroin na
You cannot speak like this.,এভাবে কথা বলতে পারেন না,Evabe kotha bolte paren na,এন গরি হতা হতে ন ফারেন,En gori hota hote no faren,ওলা মাত্তা ফারোইন না,Ola matta faroin na
You cannot speak.,কথা বলতে পারেন না,Kotha bolte paren na,হতা হতে ন ফারেন,Hota hote no faren,মাত্তা ফারোইন না,Matta faroin na
You cannot speak to me like this.,আপনি এভাবে কথা বলতে পারেন না,Apni evabe kotha bolte paren na,অনে এন গরি হতা হতে ন ফারেন,One en gori hota hote no faren,আফনে ওলা মাত্তা ফারোইন না,Afne ola matta faroin na
You cannot speak.,আপনি কথা বলতে পারেন না,Apni kotha bolte paren na,অনে হতা হতে ন ফারেন,One hota hote no faren,আফনে মাত্তা ফারোইন না,Afne matta faroin na
What is today's date?,আজকে কতো তারিখ?,Ajke koto tarikh?,আইজ হতো তারিখ?,Aiz hoto tarikh?,আইজ কতো তারিখ?,Aiz koto tarikh?
What is the date?,কতো তারিখ?,Koto tarikh?,হতো তারিখ?,Hoto tarikh?,কতো তারিখ?,Koto tarikh?
How is everyone?,সবাই কেমন আছেন?,Shobai kemon achen?,বেগ গুন কেন আছ?,Beg gun ken aso?,কিলা আছইন আফনেরা?,Kila asoin afnera?
We have an invitation today at noon.,আজকে দুপুরে আমাদের দাওয়াত আছে,Ajke dupure amader dawat ache,আজিয়া দুইরগা আরার দাওত আছে,Azia duirga arar daot ase,আইজ দুপুর বেলা আমরার দাওয়াত আছে,Aiz dupur bela amrar dawat ase
We have an invitation at noon.,দুপুরে আমাদের দাওয়াত আছে,Dupure amader dawat ache,দুইরগা আরার দাওত আছে,Duirga arar daot ase,দুপুর বেলা আমরার দাওয়াত আছে,Dupur bela amrar dawat ase
We have an invitation.,আমাদের দাওয়াত আছে,Amader dawat ache,আরার দাওত আছে,Arar daot ase,আমরার দাওয়াত আছে,Amrar dawat ase
There is an invitation.,দাওয়াত আছে,Dawat ache,দাওত আছে,Daot ase,দাওয়াত আছে,Dawat ase
What time is it on the clock?,ঘড়িতে কয়টা বাজে?,Ghorite koyta baje?,ঘড়িত হতা বাজের?,Gorit hota bazer?,ঘড়িত বাজে কয়টা?,Ghorit baze koyta?
What time is it?,কয়টা বাজে?,Koyta baje?,হতা বাজের?,Hota bazer?,বাজে কয়টা?,Baze koyta?
Today is my birthday.,আজকে আম্র জন্মদিন,Ajke amr jonmodin,আজিয়া আর জন্মদিন,Azia ar jonmodin,আইজ আমার জন্মদিন,Aiz amar zonmodin
Today is my birthday.,আম্র জন্মদিন,Amr jonmodin,আর জন্মদিন,Ar jonmodin,আমার জন্মদিন,Amar zonmodin
Today is my birthday.,আজকে জন্মদিন,Ajke jonmodin,আজিয়া জন্মদিন,Azia jonmodin,আইজ জন্মদিন,Aiz zonmodin
He gave me a gift.,সে আমাকে একটি উপহার দিয়েছে,Se amake ekti upohar diyeche,ইতে আরে ওগগা উফার দিয়ে,Ite are ogga ufar diye,হে আমারে একগু উপহার দিছে,He amare ekgu upohar dise
He gave me a gift.,আমাকে একটি উপহার দিয়েছে,Amake ekti upohar diyeche,আরে ওগগা উফার দিয়ে,Are ogga ufar diye,আমারে একগু উপহার দিছে,Amare ekgu upohar dise
He gave a gift.,একটি উপহার দিয়েছে,Ekti upohar diyeche,ওগগা উফার দিয়ে,Ogga ufar diye,একগু উপহার দিছে,Ekgu upohar dise
He gave a gift.,উপহার দিয়েছে,Upohar diyeche,উফার দিয়ে,Ufar diye,উপহার দিছে,Upohar dise
He sleeps very late.,সে অনেক বেলা করে ঘুমায়,Se onek bela kore ghumay,ইতে বোত বেলা গরি ঘুম যায়,Ite bot bela gori ghum zai,হে খুব বেলা লাগাইয়া ঘুমায়,He khub bela lagaiya gumay
He sleeps very late.,অনেক বেলা করে ঘুমায়,Onek bela kore ghumay,বোত বেলা গরি ঘুম যায়,Bot bela gori ghum zai,খুব বেলা লাগাইয়া ঘুমায়,Khub bela lagaiya gumay
He sleeps late.,বেলা করে ঘুমায়,Bela kore ghumay,বেলা গরি ঘুম যায়,Bela gori ghum zai,বেলা লাগাইয়া ঘুমায়,Bela lagaiya gumay
Now you cannot sing.,একখন তুমি গান গাইতে পারবে না,Ekhon tumi gaan gaite parbe na,এহন তুই গান গাইত ন ফারিবা,Ehon tui gaan gait no fariba,ওখন তুমাইতাইন গান গাইতে ফারতায় না,Okhon tumaitain gaan gaite fartay na
You cannot sing.,তুমি গান গাইতে পারবে না,Tumi gaan gaite parbe na,তুই গান গাইত ন ফারিবা,Tui gaan gait no fariba,তুমাইতাইন গান গাইতে ফারতায় না,Tumaitain gaan gaite fartay na
You cannot sing.,গান গাইতে পারবে না,Gaan gaite parbe na,গান গাইত ন ফারিবা,Gaan gait no fariba,গান গাইতে ফারতায় না,Gaan gaite fartay na
You cannot sing.,গাইতে পারবে না,Gaite parbe na,গাইত ন ফারিবা,Gait no fariba,গাইতে ফারতায় না,Gaite fartay na
You are a very good person.,আপনি অনেক ভালো মানুষ,Apni onek bhalo manush,অনে বহুত ভালা মানুষ,One bohut bhala manush,আফনে বহুত ভালা মানুষ,Afne bohut bala manush
You are a very good person.,অনেক ভালো মানুষ,Onek bhalo manush,বহুত ভালা মানুষ,Bohut bhala manush,বহুত ভালা মানুষ,Bohut bala manush
A good person.,ভালো মানুষ,Bhalo manush,ভালা মানুষ,Bhala manush,ভালা মানুষ,Bala manush
You are a good person.,আপনি ভালো মানুষ,Apni bhalo manush,অনে ভালা মানুষ,One bhala manush,আফনে ভালা মানুষ,Afne bala manush
We live in Dhaka.,আমরা ঢাকায় থাকি,Amra dhakay thaki,আরা ঢাহা তাকি,Ara Dhaka taki,আমরা ঢাকাত থাকি,Amra Dhaka-t taki
We live in Dhaka.,ঢাকায় থাকি,Dhakay thaki,ঢাহা তাকি,Dhaka taki,ঢাকাত থাকি,Dhaka-t taki
"I live in Mirpur, Dhaka.",আমি ঢাকার মিরপুরে থাকি,Ami dhakar mirpure thaki,আই ঢাহার মিরফুর তাকি,Ai Dhakar Mirfur taki,আমি ঢাকার মিরপর ও থাকি,Ami Dhaka-r Mirpur-o taki
